Test strain	Target strain	Time (H)	Estimate effect on target	Estimate effect on test	"FDR Adj PValue, effect on target"	"FDR Adj PValue, effect on test"	Ecological interaction type	Consensus ecological interaction type
AN71	AN02	12	-0.080941163	0.019962765	0.020649275	0.004617048	Exploitation	competition
AN71	AN02	24	-0.111976714	0.016043387	0.005463002	0.202301754	Amensalism	competition
AN71	AN02	36	-0.161748858	-0.0042039	0.000281635	0.794532442	Amensalism	competition
AN71	AN02	48	-0.193144692	-0.045104405	5.62696E-05	0.011649639	Competition	competition
AN71	AN02	60	-0.197522574	-0.059423042	5.21174E-05	0.002525638	Competition	competition
AN71	AN02	72	-0.188883564	-0.067359899	0.000101412	0.000540912	Competition	competition
AN71	AN02	84	-0.181942447	-0.064860444	0.000126982	0.001601015	Competition	competition
AN71	AN02	96	-0.178478046	-0.058073529	0.00013803	0.000930635	Competition	competition
AN71	AN02	108	-0.179156547	-0.05389517	0.000116365	0.001347743	Competition	competition
AN71	AN02	120	-0.181748358	-0.053472547	7.84714E-05	0.001819571	Competition	competition
AN71	AN02	132	-0.184207791	-0.054406229	5.25814E-05	0.001962101	Competition	competition
AN71	AN02	144	-0.185527532	-0.053917974	3.83597E-05	0.002673951	Competition	competition
AN71	AN02	156	-0.187426577	-0.05330556	3.01222E-05	0.002947367	Competition	competition
AN71	AN02	168	-0.188111691	-0.053143022	2.71441E-05	0.004516046	Competition	competition
AN71	AN04	12	-0.194081595	0.01235197	8.78074E-09	0.019592138	Exploitation	competition
AN71	AN04	24	-0.22029406	0.00935233	1.31158E-09	0.253296371	Amensalism	competition
AN71	AN04	36	-0.272165681	2.29672E-06	8.98459E-14	0.999784007	Amensalism	competition
AN71	AN04	48	-0.304957125	-0.030527928	3.71352E-14	0.000229328	Competition	competition
AN71	AN04	60	-0.312016184	-0.040012086	1.02418E-17	4.10726E-06	Competition	competition
AN71	AN04	72	-0.310725369	-0.052512278	4.80414E-18	3.79269E-07	Competition	competition
AN71	AN04	84	-0.307274893	-0.055420329	2.02377E-16	4.33667E-06	Competition	competition
AN71	AN04	96	-0.305133814	-0.0540202	1.68928E-17	4.35688E-05	Competition	competition
AN71	AN04	108	-0.304373367	-0.054608413	3.75953E-16	4.45478E-05	Competition	competition
AN71	AN04	120	-0.305303843	-0.053281141	4.45553E-16	8.37438E-05	Competition	competition
AN71	AN04	132	-0.302864523	-0.053443935	3.27707E-16	0.000139614	Competition	competition
AN71	AN04	144	-0.301694708	-0.051831189	1.01724E-16	0.000242406	Competition	competition
AN71	AN04	156	-0.302903072	-0.052539612	3.72551E-16	0.0003235	Competition	competition
AN71	AN04	168	-0.299424246	-0.05093476	3.84106E-15	0.00051416	Competition	competition
AN71	AN07	12	0.008633498	0.012375082	0.090120778	0.485376153	Neutralism	amensalism
AN71	AN07	24	-0.045254847	0.018452528	0.000596489	0.443301222	Amensalism	amensalism
AN71	AN07	36	-0.093052236	0.001672767	6.04057E-05	0.910759112	Amensalism	amensalism
AN71	AN07	48	-0.110564421	-0.037117658	0.000147934	0.001183935	Competition	amensalism
AN71	AN07	60	-0.098336784	-0.054650115	0.001315334	0.000617015	Competition	amensalism
AN71	AN07	72	-0.081633765	-0.06610595	0.007710671	0.000241863	Competition	amensalism
AN71	AN07	84	-0.069929055	-0.067838853	0.023296048	0.000241453	Competition	amensalism
AN71	AN07	96	-0.061836662	-0.065246196	0.043781614	0.000319936	Competition	amensalism
AN71	AN07	108	-0.057810617	-0.065712517	0.054242593	0.000392828	Amensalism	amensalism
AN71	AN07	120	-0.053696968	-0.064063005	0.063361484	0.000466358	Amensalism	amensalism
AN71	AN07	132	-0.046796609	-0.061888887	0.103981313	0.000680073	Amensalism	amensalism
AN71	AN07	144	-0.042464791	-0.058617549	0.146255901	0.001763212	Amensalism	amensalism
AN71	AN07	156	-0.039533246	-0.057823067	0.169622243	0.001972646	Amensalism	amensalism
AN71	AN07	168	-0.033563785	-0.053791339	0.237352706	0.003614536	Amensalism	amensalism
AN71	AN08	12	0.008643535	0.02178682	0.160206077	0.026513003	Commensalism	competition
AN71	AN08	24	-0.051483927	-0.0075311	1.60662E-06	0.04173932	Competition	competition
AN71	AN08	36	-0.123198996	-0.027981518	1.17398E-08	0.051679681	Amensalism	competition
AN71	AN08	48	-0.163925854	-0.054341958	8.45647E-10	0.008237159	Competition	competition
AN71	AN08	60	-0.162640724	-0.068170829	2.59312E-07	0.006075271	Competition	competition
AN71	AN08	72	-0.14583913	-0.079075146	3.84247E-07	0.002765019	Competition	competition
AN71	AN08	84	-0.130755411	-0.08061795	8.61884E-07	0.001634038	Competition	competition
AN71	AN08	96	-0.117909286	-0.076630453	2.59682E-06	0.000991427	Competition	competition
AN71	AN08	108	-0.109668397	-0.076103043	5.41419E-06	0.00066953	Competition	competition
AN71	AN08	120	-0.105084639	-0.075917527	9.22506E-06	0.000411782	Competition	competition
AN71	AN08	132	-0.098556283	-0.073916379	2.2735E-05	0.000135683	Competition	competition
AN71	AN08	144	-0.095112265	-0.069043033	4.05133E-05	2.93411E-05	Competition	competition
AN71	AN08	156	-0.089885766	-0.066335109	7.2584E-05	9.40394E-06	Competition	competition
AN71	AN08	168	-0.085100693	-0.062495511	0.000155817	3.11072E-06	Competition	competition
AN71	AN09	12	-0.001589736	0.00664246	0.769216831	0.384970832	Neutralism	competition
AN71	AN09	24	-0.051333334	-0.011073793	1.33857E-05	0.338581956	Amensalism	competition
AN71	AN09	36	-0.119487878	-0.026299494	5.01153E-07	0.075478653	Amensalism	competition
AN71	AN09	48	-0.175048028	-0.05457916	9.00176E-09	0.003367596	Competition	competition
AN71	AN09	60	-0.180146662	-0.061757979	2.09615E-08	0.000350038	Competition	competition
AN71	AN09	72	-0.170020728	-0.067694386	2.41615E-08	0.000163895	Competition	competition
AN71	AN09	84	-0.163381247	-0.0697887	5.89135E-08	9.53755E-05	Competition	competition
AN71	AN09	96	-0.157570054	-0.067522896	1.01954E-07	5.48938E-05	Competition	competition
AN71	AN09	108	-0.156052515	-0.068060487	1.80661E-07	3.61584E-05	Competition	competition
AN71	AN09	120	-0.154170393	-0.067138319	2.54377E-07	2.90207E-05	Competition	competition
AN71	AN09	132	-0.151799721	-0.065903257	3.04344E-07	3.42878E-05	Competition	competition
AN71	AN09	144	-0.149248442	-0.060711087	2.87114E-07	0.000148792	Competition	competition
AN71	AN09	156	-0.147254753	-0.058911887	3.16644E-07	0.000128674	Competition	competition
AN71	AN09	168	-0.144287931	-0.056601429	4.01808E-07	0.000316103	Competition	competition
AN71	AN10	12	-0.060957697	0.003949948	0.07881705	0.412443562	Neutralism	competition
AN71	AN10	24	-0.099993332	-0.009908161	0.003599074	0.312261269	Amensalism	competition
AN71	AN10	36	-0.162641956	-0.021927784	0.000229472	0.109744735	Amensalism	competition
AN71	AN10	48	-0.203300034	-0.044086292	1.89397E-05	0.005208572	Competition	competition
AN71	AN10	60	-0.210256544	-0.05457269	7.971E-06	0.000953097	Competition	competition
AN71	AN10	72	-0.208141065	-0.069098703	1.19704E-05	0.000344878	Competition	competition
AN71	AN10	84	-0.205476404	-0.072987653	2.05148E-05	0.00030775	Competition	competition
AN71	AN10	96	-0.202145226	-0.072207147	1.76962E-05	0.000303014	Competition	competition
AN71	AN10	108	-0.202622803	-0.072817925	2.25199E-05	0.000334502	Competition	competition
AN71	AN10	120	-0.203308962	-0.070606773	2.40696E-05	0.000473202	Competition	competition
AN71	AN10	132	-0.200639409	-0.06823337	2.42442E-05	0.000702754	Competition	competition
AN71	AN10	144	-0.20005207	-0.067015566	2.13791E-05	0.000829362	Competition	competition
AN71	AN10	156	-0.200191499	-0.067144821	2.5705E-05	0.000914578	Competition	competition
AN71	AN10	168	-0.197439854	-0.065976468	3.72848E-05	0.000997587	Competition	competition
AN71	AN11	12	-0.030941654	0.011744733	0.292177696	0.140153952	Neutralism	competition
AN71	AN11	24	-0.074405587	0.00243612	0.008764718	0.610209667	Amensalism	competition
AN71	AN11	36	-0.141221049	-0.009769101	8.7057E-05	0.385963983	Amensalism	competition
AN71	AN11	48	-0.180869096	-0.042902812	6.84725E-06	0.019447945	Competition	competition
AN71	AN11	60	-0.184192925	-0.056970719	6.09026E-06	0.003858288	Competition	competition
AN71	AN11	72	-0.177360985	-0.067832067	1.29387E-05	0.000414612	Competition	competition
AN71	AN11	84	-0.173952729	-0.069394818	2.42751E-05	0.000241143	Competition	competition
AN71	AN11	96	-0.16852977	-0.065334731	3.14395E-05	0.00019432	Competition	competition
AN71	AN11	108	-0.167943817	-0.064344398	4.2107E-05	0.000198806	Competition	competition
AN71	AN11	120	-0.167358919	-0.063485711	5.05197E-05	0.000197804	Competition	competition
AN71	AN11	132	-0.165302583	-0.063447365	5.29436E-05	0.000200631	Competition	competition
AN71	AN11	144	-0.164356841	-0.061652053	4.89466E-05	0.000271854	Competition	competition
AN71	AN11	156	-0.163690726	-0.059843735	6.38823E-05	0.000432457	Competition	competition
AN71	AN11	168	-0.160193728	-0.058972259	9.63016E-05	0.000578071	Competition	competition
AN71	AN14	12	-0.067746191	0.003389624	0.067230436	0.560136231	Neutralism	competition
AN71	AN14	24	-0.107500352	-0.011124522	0.002980714	0.087376882	Amensalism	competition
AN71	AN14	36	-0.175755917	-0.028117151	8.83702E-05	0.021922388	Competition	competition
AN71	AN14	48	-0.22297915	-0.064276598	6.73538E-06	0.000899467	Competition	competition
AN71	AN14	60	-0.232605073	-0.07650724	3.55246E-06	0.00024465	Competition	competition
AN71	AN14	72	-0.226685479	-0.085400355	6.42255E-06	4.58815E-05	Competition	competition
AN71	AN14	84	-0.224458271	-0.086438403	1.03778E-05	1.21371E-05	Competition	competition
AN71	AN14	96	-0.220884683	-0.083966072	9.49717E-06	6.73637E-06	Competition	competition
AN71	AN14	108	-0.221157316	-0.081822914	1.2151E-05	2.68883E-06	Competition	competition
AN71	AN14	120	-0.222435572	-0.078918278	1.26331E-05	3.6545E-06	Competition	competition
AN71	AN14	132	-0.22004761	-0.076663522	1.31066E-05	1.01412E-05	Competition	competition
AN71	AN14	144	-0.219630359	-0.073502149	1.1445E-05	2.7456E-05	Competition	competition
AN71	AN14	156	-0.219270936	-0.06979541	1.4421E-05	8.93211E-05	Competition	competition
AN71	AN14	168	-0.216672695	-0.066979444	2.19184E-05	0.000175487	Competition	competition
AN71	AN17	12	0.006004815	-0.00287247	0.583863512	0.846624188	Neutralism	competition
AN71	AN17	24	-0.027183627	-0.022296158	0.027229594	0.121126443	Amensalism	competition
AN71	AN17	36	-0.105000439	-0.03248865	3.01217E-06	0.039767	Competition	competition
AN71	AN17	48	-0.147185893	-0.051492911	2.63632E-08	0.01032867	Competition	competition
AN71	AN17	60	-0.135743452	-0.059273391	4.67727E-08	0.004259308	Competition	competition
AN71	AN17	72	-0.111582875	-0.071512492	2.07546E-05	0.001616759	Competition	competition
AN71	AN17	84	-0.097128776	-0.073073668	1.46563E-05	0.001156633	Competition	competition
AN71	AN17	96	-0.08902844	-0.070097118	1.88726E-05	0.00108651	Competition	competition
AN71	AN17	108	-0.086151731	-0.068750841	2.10834E-05	0.001076894	Competition	competition
AN71	AN17	120	-0.085669653	-0.06903122	2.6442E-05	0.000799981	Competition	competition
AN71	AN17	132	-0.085416268	-0.068210249	3.85842E-05	0.00059229	Competition	competition
AN71	AN17	144	-0.085030576	-0.064737755	4.56626E-05	0.000603234	Competition	competition
AN71	AN17	156	-0.083070136	-0.062671616	4.1443E-05	0.000503417	Competition	competition
AN71	AN17	168	-0.080034267	-0.059979766	9.04479E-05	0.000692453	Competition	competition
AN71	AN18	12	-0.210809968	0.013994071	1.00213E-09	0.247277088	Amensalism	competition
AN71	AN18	24	-0.230872453	-0.003422606	3.6513E-12	0.809064807	Amensalism	competition
AN71	AN18	36	-0.278954679	-0.021634233	1.88437E-13	0.238035923	Amensalism	competition
AN71	AN18	48	-0.321686031	-0.055236276	5.92791E-12	0.006427119	Competition	competition
AN71	AN18	60	-0.333303249	-0.065448654	2.12158E-11	0.00144212	Competition	competition
AN71	AN18	72	-0.332971023	-0.074328009	3.4371E-11	0.000982573	Competition	competition
AN71	AN18	84	-0.330743861	-0.075452602	3.24586E-10	0.001240371	Competition	competition
AN71	AN18	96	-0.329275863	-0.073690515	4.34388E-11	0.002005692	Competition	competition
AN71	AN18	108	-0.32922771	-0.072513564	1.4616E-10	0.00301549	Competition	competition
AN71	AN18	120	-0.330871857	-0.072009474	2.3157E-10	0.002939404	Competition	competition
AN71	AN18	132	-0.329155799	-0.07386434	1.31505E-10	0.002226504	Competition	competition
AN71	AN18	144	-0.328164929	-0.072068192	8.19749E-11	0.003127452	Competition	competition
AN71	AN18	156	-0.328885619	-0.072077123	1.86041E-10	0.003445034	Competition	competition
AN71	AN18	168	-0.327182025	-0.071839355	4.1035E-10	0.003746782	Competition	competition
AN71	AN19	12	-0.077502677	0.000914413	0.056005702	0.91492927	Neutralism	competition
AN71	AN19	24	-0.128910601	-0.026968349	0.000727727	0.054315143	Amensalism	competition
AN71	AN19	36	-0.182467591	-0.050366991	3.88164E-06	0.018948758	Competition	competition
AN71	AN19	48	-0.214650115	-0.078662238	6.68884E-06	0.001463719	Competition	competition
AN71	AN19	60	-0.215086413	-0.080208929	3.22495E-05	0.000607481	Competition	competition
AN71	AN19	72	-0.204910345	-0.084077464	7.6908E-05	7.1053E-05	Competition	competition
AN71	AN19	84	-0.197252375	-0.085738468	0.000129444	1.69211E-05	Competition	competition
AN71	AN19	96	-0.191674196	-0.083851142	0.000266201	1.03067E-05	Competition	competition
AN71	AN19	108	-0.186492372	-0.084412805	0.000316684	1.16387E-05	Competition	competition
AN71	AN19	120	-0.184296247	-0.082089681	0.000470851	1.75988E-05	Competition	competition
AN71	AN19	132	-0.180995329	-0.08080049	0.000607489	1.36789E-05	Competition	competition
AN71	AN19	144	-0.180499126	-0.079291817	0.00072869	1.66519E-05	Competition	competition
AN71	AN19	156	-0.178569726	-0.078182045	0.000815067	1.92293E-05	Competition	competition
AN71	AN19	168	-0.17474188	-0.077583716	0.000814285	2.62358E-05	Competition	competition
AN71	AN20	12	-0.136772828	0.000549449	0.003368485	0.910412214	Amensalism	competition
AN71	AN20	24	-0.171115326	-0.004825617	9.42845E-05	0.728527634	Amensalism	competition
AN71	AN20	36	-0.230405958	-0.020839161	2.02369E-06	0.240510939	Amensalism	competition
AN71	AN20	48	-0.271107337	-0.061092041	6.78171E-07	0.00445671	Competition	competition
AN71	AN20	60	-0.275370714	-0.072487343	2.13236E-06	0.001216052	Competition	competition
AN71	AN20	72	-0.271249038	-0.082061414	3.18273E-06	0.000409797	Competition	competition
AN71	AN20	84	-0.269062955	-0.085030239	3.87375E-06	0.000387378	Competition	competition
AN71	AN20	96	-0.267145579	-0.083207102	3.90073E-06	0.000564018	Competition	competition
AN71	AN20	108	-0.265415412	-0.084066748	4.11294E-06	0.000667237	Competition	competition
AN71	AN20	120	-0.26672204	-0.081765645	4.6326E-06	0.001152141	Competition	competition
AN71	AN20	132	-0.263955937	-0.081139918	5.39581E-06	0.001279891	Competition	competition
AN71	AN20	144	-0.263374353	-0.078400398	5.84246E-06	0.001323078	Competition	competition
AN71	AN20	156	-0.26343895	-0.077002801	6.63133E-06	0.00134279	Competition	competition
AN71	AN20	168	-0.260249507	-0.074892525	7.58489E-06	0.001518435	Competition	competition
AN71	AN21	12	-0.149244833	0.005741	0.000523012	0.48140981	Amensalism	competition
AN71	AN21	24	-0.182329782	-0.010842153	3.06952E-05	0.4675077	Amensalism	competition
AN71	AN21	36	-0.228738733	-0.024827454	5.06434E-07	0.230938736	Amensalism	competition
AN71	AN21	48	-0.269000307	-0.054828027	2.03942E-07	0.033893577	Competition	competition
AN71	AN21	60	-0.281571291	-0.068572957	2.03806E-07	0.006117786	Competition	competition
AN71	AN21	72	-0.28043355	-0.075968663	1.6471E-07	0.003823563	Competition	competition
AN71	AN21	84	-0.276881324	-0.076577982	1.13219E-07	0.002795886	Competition	competition
AN71	AN21	96	-0.276622282	-0.075186716	1.18165E-07	0.002042988	Competition	competition
AN71	AN21	108	-0.27538673	-0.076098528	7.75986E-08	0.001550043	Competition	competition
AN71	AN21	120	-0.276356245	-0.075444748	7.5116E-08	0.001540138	Competition	competition
AN71	AN21	132	-0.275617617	-0.074462377	7.057E-08	0.001138193	Competition	competition
AN71	AN21	144	-0.275362639	-0.069622351	7.3448E-08	0.001274145	Competition	competition
AN71	AN21	156	-0.274798783	-0.069044839	6.36419E-08	0.001048116	Competition	competition
AN71	AN21	168	-0.270897603	-0.066441373	6.77144E-08	0.000796289	Competition	competition
AN71	AN23	12	0.025100858	0.016918525	0.127663194	0.19149919	Neutralism	commensalism
AN71	AN23	24	0.097819968	0.031022718	2.35193E-05	0.155353115	Commensalism	commensalism
AN71	AN23	36	0.090472009	0.006942454	2.19831E-06	0.747221369	Commensalism	commensalism
AN71	AN23	48	0.0709436	-0.043834764	4.43969E-05	0.035679841	Exploitation	commensalism
AN71	AN23	60	0.067040101	-0.055960469	0.000121298	0.023625134	Exploitation	commensalism
AN71	AN23	72	0.072342072	-0.062842036	5.37364E-05	0.025653425	Exploitation	commensalism
AN71	AN23	84	0.076179547	-0.060579675	5.06126E-05	0.044749313	Exploitation	commensalism
AN71	AN23	96	0.076919094	-0.055988374	5.14619E-05	0.066403613	Commensalism	commensalism
AN71	AN23	108	0.076847987	-0.053481366	5.12429E-05	0.073218232	Commensalism	commensalism
AN71	AN23	120	0.073959638	-0.052207295	7.56743E-05	0.083081808	Commensalism	commensalism
AN71	AN23	132	0.074212012	-0.04989847	8.84664E-05	0.092104697	Commensalism	commensalism
AN71	AN23	144	0.073669731	-0.04731809	9.95033E-05	0.116987796	Commensalism	commensalism
AN71	AN23	156	0.074089452	-0.045828153	8.36235E-05	0.117677539	Commensalism	commensalism
AN71	AN23	168	0.075184856	-0.041905973	9.85602E-05	0.14967194	Commensalism	commensalism
AN71	AN24	12	0.001389183	0.009631802	0.846080438	0.110756672	Neutralism	competition
AN71	AN24	24	-0.053515227	-0.007516791	0.000663796	0.592704094	Amensalism	competition
AN71	AN24	36	-0.073942673	-0.022713909	8.84664E-05	0.265857956	Amensalism	competition
AN71	AN24	48	-0.085218676	-0.064593653	6.85366E-05	0.008335299	Competition	competition
AN71	AN24	60	-0.08136018	-0.08051418	0.00023326	0.003029309	Competition	competition
AN71	AN24	72	-0.067556798	-0.089280459	0.000695457	0.001554537	Competition	competition
AN71	AN24	84	-0.061287137	-0.090781354	0.001373054	0.001696029	Competition	competition
AN71	AN24	96	-0.061795408	-0.088155433	0.001198813	0.002317099	Competition	competition
AN71	AN24	108	-0.062745353	-0.085317261	0.00100735	0.002578658	Competition	competition
AN71	AN24	120	-0.064924574	-0.081708852	0.000806569	0.003301703	Competition	competition
AN71	AN24	132	-0.06567409	-0.076621418	0.000648051	0.003668738	Competition	competition
AN71	AN24	144	-0.066168563	-0.072019428	0.000589843	0.006371341	Competition	competition
AN71	AN24	156	-0.064482287	-0.067667653	0.000509703	0.011317606	Competition	competition
AN71	AN24	168	-0.06299159	-0.064170253	0.000559149	0.018003875	Competition	competition
AN71	AN25	12	-0.063578347	0.002225361	0.062414001	0.59783615	Neutralism	competition
AN71	AN25	24	-0.104642397	-0.002832342	0.002091165	0.532870907	Amensalism	competition
AN71	AN25	36	-0.1714676	-0.006182774	6.63552E-05	0.454635454	Amensalism	competition
AN71	AN25	48	-0.20774291	-0.037673934	6.72257E-06	0.002178527	Competition	competition
AN71	AN25	60	-0.213353335	-0.052055151	3.59831E-06	0.001066607	Competition	competition
AN71	AN25	72	-0.20872961	-0.06496773	6.84725E-06	0.000328239	Competition	competition
AN71	AN25	84	-0.20715855	-0.068138725	1.09267E-05	0.000253138	Competition	competition
AN71	AN25	96	-0.203083356	-0.066170161	9.9264E-06	0.00036908	Competition	competition
AN71	AN25	108	-0.203612537	-0.067158498	1.26055E-05	0.000357811	Competition	competition
AN71	AN25	120	-0.204079433	-0.067110399	1.34713E-05	0.000516631	Competition	competition
AN71	AN25	132	-0.201030021	-0.0671078	1.38383E-05	0.000552505	Competition	competition
AN71	AN25	144	-0.200714166	-0.066054036	1.13488E-05	0.000600833	Competition	competition
AN71	AN25	156	-0.200641266	-0.066086866	1.51593E-05	0.000562159	Competition	competition
AN71	AN25	168	-0.197235895	-0.063942461	2.37624E-05	0.000574962	Competition	competition
AN71	AN26	12	-0.058183725	0.015085	0.147190911	0.120370659	Neutralism	competition
AN71	AN26	24	-0.097418631	0.001235971	0.01996065	0.936802253	Amensalism	competition
AN71	AN26	36	-0.139271145	-0.01694932	0.003047386	0.473050132	Amensalism	competition
AN71	AN26	48	-0.160650952	-0.061816973	0.001836478	0.045038024	Competition	competition
AN71	AN26	60	-0.155464944	-0.079051704	0.002951529	0.0191918	Competition	competition
AN71	AN26	72	-0.139903792	-0.084005699	0.008399505	0.01011704	Competition	competition
AN71	AN26	84	-0.130222747	-0.082687847	0.014533415	0.011846094	Competition	competition
AN71	AN26	96	-0.124257797	-0.079877306	0.020864569	0.016295162	Competition	competition
AN71	AN26	108	-0.122228597	-0.078522572	0.024572701	0.015459436	Competition	competition
AN71	AN26	120	-0.122540976	-0.076660867	0.024209109	0.015178301	Competition	competition
AN71	AN26	132	-0.120906455	-0.073607348	0.025836604	0.013095381	Competition	competition
AN71	AN26	144	-0.119388584	-0.069723808	0.026665155	0.019485883	Competition	competition
AN71	AN26	156	-0.118537899	-0.068912081	0.027648001	0.019154029	Competition	competition
AN71	AN26	168	-0.118590422	-0.065654967	0.0264692	0.027179484	Competition	competition
AN71	AN27	12	0.014393759	0.02184374	0.023610792	0.0051655	Cooperation	amensalism
AN71	AN27	24	0.024641325	0.017244046	0.036605011	0.043305869	Cooperation	amensalism
AN71	AN27	36	0.000648667	-0.006044539	0.959059175	0.680717184	Neutralism	amensalism
AN71	AN27	48	-0.02180526	-0.050132761	0.090691726	0.016638033	Amensalism	amensalism
AN71	AN27	60	-0.021341518	-0.062331149	0.056885598	0.001653062	Amensalism	amensalism
AN71	AN27	72	-0.013021197	-0.071566889	0.122323353	7.28494E-05	Amensalism	amensalism
AN71	AN27	84	-0.007551738	-0.07219742	0.30014484	4.03384E-05	Amensalism	amensalism
AN71	AN27	96	-0.005658176	-0.070447524	0.435498257	7.55728E-05	Amensalism	amensalism
AN71	AN27	108	-0.005131066	-0.069767289	0.462355192	0.000150012	Amensalism	amensalism
AN71	AN27	120	-0.004813091	-0.065451664	0.516302793	9.42857E-05	Amensalism	amensalism
AN71	AN27	132	-0.004626411	-0.063187595	0.554562137	8.48534E-05	Amensalism	amensalism
AN71	AN27	144	-0.003712336	-0.061477099	0.652250564	9.63514E-05	Amensalism	amensalism
AN71	AN27	156	-0.002589061	-0.059160308	0.757043185	8.59954E-05	Amensalism	amensalism
AN71	AN27	168	-0.002292742	-0.058041211	0.781659427	0.000108159	Amensalism	amensalism
AN71	AN28	12	-0.009680246	0.00526091	0.162171105	0.136067482	Neutralism	competition
AN71	AN28	24	-0.05921658	-0.005771994	2.30749E-05	0.351025495	Amensalism	competition
AN71	AN28	36	-0.089281043	-0.01653312	2.0928E-06	0.108971927	Amensalism	competition
AN71	AN28	48	-0.085161047	-0.049146388	6.29298E-05	0.00983336	Competition	competition
AN71	AN28	60	-0.077393639	-0.063226316	0.00028284	0.003798437	Competition	competition
AN71	AN28	72	-0.06566635	-0.076768193	0.000403935	0.000786329	Competition	competition
AN71	AN28	84	-0.059672362	-0.079896557	0.000716702	0.000444763	Competition	competition
AN71	AN28	96	-0.056155321	-0.077935425	0.000907138	0.000294441	Competition	competition
AN71	AN28	108	-0.055370502	-0.077923121	0.000935067	0.000199057	Competition	competition
AN71	AN28	120	-0.055956153	-0.078294891	0.00073635	0.000162705	Competition	competition
AN71	AN28	132	-0.055926316	-0.079175166	0.000680242	0.000175671	Competition	competition
AN71	AN28	144	-0.055545885	-0.079054626	0.000692569	0.000191008	Competition	competition
AN71	AN28	156	-0.054520621	-0.078581502	0.000507152	0.000104625	Competition	competition
AN71	AN28	168	-0.052625322	-0.07746486	0.000654416	0.00015992	Competition	competition
AN71	AN29	12	-0.009248107	0.010859187	0.354443545	0.235387464	Neutralism	competition
AN71	AN29	24	-0.044987547	0.039098259	0.000285471	0.145295772	Amensalism	competition
AN71	AN29	36	-0.052971296	0.01282963	6.87295E-05	0.412334233	Amensalism	competition
AN71	AN29	48	-0.057381294	-0.037594669	9.56438E-05	0.021342087	Competition	competition
AN71	AN29	60	-0.054375414	-0.0532548	0.000718426	0.010724223	Competition	competition
AN71	AN29	72	-0.045795573	-0.063489459	0.002521261	0.008670875	Competition	competition
AN71	AN29	84	-0.042243366	-0.064668122	0.005019458	0.011373099	Competition	competition
AN71	AN29	96	-0.041547144	-0.061534751	0.005772219	0.016605154	Competition	competition
AN71	AN29	108	-0.041644641	-0.060528009	0.005549032	0.017910107	Competition	competition
AN71	AN29	120	-0.044096122	-0.058993861	0.004294612	0.020945371	Competition	competition
AN71	AN29	132	-0.045925046	-0.058619303	0.003483564	0.02363872	Competition	competition
AN71	AN29	144	-0.047436449	-0.055891541	0.003350789	0.038576373	Competition	competition
AN71	AN29	156	-0.047303089	-0.05591179	0.003061574	0.038255439	Competition	competition
AN71	AN29	168	-0.047517021	-0.054232383	0.003745929	0.051082875	Amensalism	competition
AN71	AN30	12	0.000733476	0.013249115	0.874335234	0.027991414	Commensalism	competition
AN71	AN30	24	-0.054272844	0.014313239	2.44463E-06	0.090822864	Amensalism	competition
AN71	AN30	36	-0.084530087	0.012046986	5.42443E-07	0.236639777	Amensalism	competition
AN71	AN30	48	-0.091338667	-0.027139746	4.24416E-07	9.63269E-05	Competition	competition
AN71	AN30	60	-0.082646535	-0.042256197	2.31779E-07	4.70312E-06	Competition	competition
AN71	AN30	72	-0.071373248	-0.05369984	2.4599E-06	7.78437E-06	Competition	competition
AN71	AN30	84	-0.064901699	-0.053376581	4.48261E-06	0.000108153	Competition	competition
AN71	AN30	96	-0.062219467	-0.048700142	2.56443E-06	0.00088273	Competition	competition
AN71	AN30	108	-0.061838578	-0.04638942	2.0952E-06	0.001493885	Competition	competition
AN71	AN30	120	-0.063332733	-0.044394887	2.47407E-06	0.001065273	Competition	competition
AN71	AN30	132	-0.063775818	-0.041747896	2.12322E-06	0.001110374	Competition	competition
AN71	AN30	144	-0.063623768	-0.036669424	3.65644E-06	0.007473465	Competition	competition
AN71	AN30	156	-0.062843822	-0.034560317	4.89962E-06	0.012525042	Competition	competition
AN71	AN30	168	-0.06166866	-0.030688765	9.98576E-06	0.036031671	Competition	competition
AN71	AN31	12	0.048697277	-0.015525385	0.042675188	0.471524964	Commensalism	commensalism
AN71	AN31	24	0.11710975	0.018260766	6.81726E-05	0.422828081	Commensalism	commensalism
AN71	AN31	36	0.105262699	0.00179079	3.57223E-06	0.933105049	Commensalism	commensalism
AN71	AN31	48	0.086075961	-0.04068226	5.77276E-06	0.032649236	Exploitation	commensalism
AN71	AN31	60	0.081910994	-0.053364443	6.93155E-06	0.019863434	Exploitation	commensalism
AN71	AN31	72	0.083927753	-0.062018538	2.16323E-06	0.019753888	Exploitation	commensalism
AN71	AN31	84	0.086108441	-0.061329089	3.14204E-06	0.026968945	Exploitation	commensalism
AN71	AN31	96	0.085887381	-0.057163034	5.11236E-06	0.041176632	Exploitation	commensalism
AN71	AN31	108	0.085168834	-0.056463273	1.23024E-05	0.043727625	Exploitation	commensalism
AN71	AN31	120	0.081987587	-0.055860114	1.86369E-05	0.051494426	Commensalism	commensalism
AN71	AN31	132	0.080310717	-0.055384943	3.57705E-05	0.05023537	Commensalism	commensalism
AN71	AN31	144	0.078968009	-0.054686653	5.89353E-05	0.052122956	Commensalism	commensalism
AN71	AN31	156	0.077962252	-0.053377158	8.06153E-05	0.058209913	Commensalism	commensalism
